datetime,Temperature,Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions
2020-02-23 04,8.0,0.0,0.1,10.0,26.9,93.48,2.0
2020-02-23 05,8.0,0.0,0.0,10.0,27.3,93.37,2.0
2020-02-23 06,9.0,0.0,1.8,10.0,27.2,87.29,2.0
2020-02-23 07,9.9,0.2,3.6,10.0,26.9,87.52,5.0
2020-02-23 08,11.0,0.0,5.4,10.0,27.2,87.51,2.0
2020-02-23 09,13.0,0.0,7.5,10.0,27.2,76.77,2.0
2020-02-23 10,15.0,0.0,9.4,10.0,26.9,67.53,2.0
2020-02-23 11,17.0,0.0,7.6,10.0,27.3,59.37,2.0
2020-02-23 12,18.0,0.0,5.5,10.0,27.3,52.03,2.0
2020-02-23 13,19.0,0.0,11.1,10.0,26.9,48.97,2.0
2020-02-23 14,20.0,0.0,11.2,10.0,27.3,42.91,2.0
2020-02-23 15,20.0,0.0,7.6,10.0,27.3,45.91,2.0
2020-02-23 16,17.0,0.0,12.9,10.0,26.9,63.02,2.0
2020-02-23 17,17.0,0.0,13.0,10.0,27.2,67.74,2.0
2020-02-23 18,15.0,0.0,9.4,10.0,27.2,76.97,2.0
2020-02-23 19,14.0,0.0,12.9,10.0,26.9,76.86,2.0
2020-02-23 20,14.0,0.0,3.6,10.0,27.2,76.87,2.0
2020-02-23 21,14.0,0.0,11.1,10.0,27.2,76.87,2.0
2020-02-23 22,12.0,0.0,11.1,10.0,27.0,81.94,2.0
2020-02-23 23,11.0,0.0,9.4,10.0,27.0,81.78,2.0
2020-02-24 00,11.0,0.0,7.5,10.0,27.0,87.47,2.0
2020-02-24 03,11.0,0.0,7.6,10.0,27.2,87.47,2.0
2020-02-24 04,10.0,0.0,9.4,8.0,27.0,93.53,2.0
2020-02-24 05,10.0,0.0,9.4,8.0,27.3,81.65,2.0
2020-02-24 06,10.0,0.0,11.1,10.0,27.3,76.28,2.0
2020-02-24 07,9.0,0.2,7.6,10.0,27.0,81.58,5.0
2020-02-24 08,10.0,0.0,5.4,10.0,0.6,76.28,0.0
2020-02-24 09,14.0,0.0,13.0,10.0,0.4,71.9,0.0
2020-02-24 10,15.0,0.0,16.5,10.0,27.2,62.97,2.0
2020-02-24 11,17.0,0.0,13.0,10.0,27.0,51.77,2.0
2020-02-24 12,20.0,0.0,20.6,10.0,27.0,42.93,2.0
2020-02-24 13,21.0,0.0,20.5,10.0,0.3,40.11,0.0
2020-02-24 14,22.0,0.0,20.5,10.0,0.0,35.41,0.0
2020-02-24 15,22.0,0.0,18.4,10.0,27.0,32.99,2.0
2020-02-24 16,22.0,0.0,20.4,10.0,0.3,30.79,0.0
2020-02-24 17,21.0,0.0,16.6,10.0,0.0,30.62,0.0
2020-02-24 18,19.0,0.0,14.8,10.0,0.0,37.16,0.0
2020-02-24 19,16.0,0.0,7.5,10.0,0.0,38.92,0.0
2020-02-24 20,15.0,0.0,13.0,10.0,0.0,38.74,0.0
2020-02-24 21,15.0,0.0,11.1,10.0,0.0,33.55,0.0
2020-02-24 22,13.9,0.0,0.1,10.0,0.0,35.85,0.0
2020-02-24 23,13.0,0.0,9.3,10.0,0.0,44.08,0.0
2020-02-25 00,12.0,0.0,5.4,10.0,0.0,54.22,0.0
2020-02-25 03,9.0,0.0,5.4,10.0,0.0,66.14,0.0
2020-02-25 04,9.9,0.0,7.5,10.0,0.0,62.0,0.0
2020-02-25 05,9.0,0.0,7.5,10.0,0.0,61.58,0.0
2020-02-25 06,9.0,0.0,11.1,10.0,0.0,61.63,0.0
2020-02-25 07,8.9,0.0,11.1,10.0,0.3,57.58,0.0
2020-02-25 08,11.0,0.0,12.9,10.0,0.0,53.97,0.0
2020-02-25 09,14.0,0.0,11.1,10.0,0.0,41.25,0.0
2020-02-25 10,17.0,0.0,9.3,10.0,0.0,34.06,0.0
2020-02-25 11,19.0,0.0,9.3,10.0,0.0,32.14,0.0
2020-02-25 12,21.0,0.0,9.3,10.0,0.0,30.44,0.0
2020-02-25 13,23.0,0.0,9.4,10.0,0.0,27.04,0.0
2020-02-25 14,24.0,0.0,11.1,10.0,0.0,29.19,0.0
2020-02-25 15,23.0,0.0,11.2,10.0,0.0,33.13,0.0
2020-02-25 16,23.0,0.0,12.9,10.0,0.0,35.72,0.0
2020-02-25 17,19.0,0.0,14.8,10.0,0.0,42.4,0.0
2020-02-25 18,16.0,0.0,7.6,10.0,0.0,54.82,0.0
2020-02-25 19,14.0,0.0,1.8,10.0,0.0,67.21,0.0
2020-02-25 20,14.0,0.0,3.6,10.0,0.0,62.47,0.0
2020-02-25 21,14.0,0.0,3.7,10.0,0.0,81.64,0.0
2020-02-25 22,13.0,0.0,12.9,10.0,0.0,58.38,0.0
2020-02-25 23,15.0,0.0,1.9,10.0,0.0,44.5,0.0
2020-02-26 00,15.0,0.0,13.0,10.0,0.0,41.61,0.0
2020-02-26 03,13.0,0.0,3.6,10.0,27.2,50.72,2.0
2020-02-26 04,13.0,0.0,3.7,10.0,27.0,50.64,2.0
2020-02-26 05,9.0,0.0,0.1,10.0,27.0,66.18,2.0
2020-02-26 06,11.0,0.0,7.6,10.0,27.0,62.12,2.0
2020-02-26 07,12.0,0.0,7.6,10.0,27.0,58.0,2.0
2020-02-26 08,14.0,0.0,14.8,10.0,27.3,54.75,2.0
2020-02-26 09,17.0,0.0,3.7,10.0,27.3,59.37,2.0
2020-02-26 10,17.0,0.0,24.2,10.0,49.7,63.39,2.0
2020-02-26 11,18.0,0.0,20.5,10.0,50.0,59.56,2.0
2020-02-26 12,18.0,0.0,22.3,10.0,50.0,55.68,2.0
2020-02-26 13,20.0,0.2,18.4,10.0,50.4,52.54,5.0
2020-02-26 14,20.0,0.0,22.4,10.0,50.0,52.56,2.0
2020-02-26 15,20.0,0.0,24.1,10.0,50.0,52.54,2.0
2020-02-26 16,19.0,0.0,24.1,10.0,50.0,52.21,2.0
2020-02-26 17,19.0,0.0,25.9,10.0,50.0,52.31,2.0
2020-02-26 18,18.0,0.0,22.3,10.0,50.0,59.56,2.0
2020-02-26 19,17.0,0.0,22.1,10.0,49.4,67.84,2.0
2020-02-26 20,16.0,0.0,24.1,10.0,50.0,67.64,2.0
2020-02-26 21,16.0,0.0,24.1,10.0,50.0,63.22,2.0
2020-02-26 22,16.0,0.0,25.9,10.0,27.3,59.1,2.0
2020-02-26 23,14.0,0.0,18.3,10.0,27.3,71.82,2.0
2020-02-27 00,13.0,0.0,18.3,10.0,27.3,76.62,2.0
2020-02-27 03,13.0,0.0,11.2,10.0,50.0,76.56,2.0
2020-02-27 04,13.0,0.0,12.9,10.0,50.0,76.56,2.0
2020-02-27 05,13.0,0.0,11.2,10.0,50.0,71.58,2.0
2020-02-27 06,13.0,0.0,18.3,10.0,50.0,71.52,2.0
2020-02-27 07,12.0,0.0,14.6,10.0,27.4,71.75,2.0
2020-02-27 08,13.0,0.0,9.4,10.0,27.2,66.88,2.0
2020-02-27 09,15.0,0.0,16.6,10.0,27.3,58.72,2.0
2020-02-27 10,16.0,0.0,16.6,10.0,27.6,55.33,2.0
2020-02-27 11,17.0,0.0,18.4,10.0,27.3,45.05,2.0
2020-02-27 12,17.0,0.0,18.4,10.0,36.1,48.23,2.0
2020-02-27 13,17.0,0.0,16.5,10.0,36.5,48.44,2.0
2020-02-27 14,19.0,0.0,14.8,10.0,36.1,39.74,2.0
2020-02-27 15,18.0,0.0,14.8,10.0,36.1,42.28,2.0
2020-02-27 16,17.0,0.0,14.8,10.0,36.3,45.04,2.0
2020-02-27 17,16.1,0.0,13.0,10.0,49.7,51.34,2.0
2020-02-27 18,16.0,0.0,12.9,10.0,49.9,47.99,2.0
2020-02-27 19,15.0,0.0,9.2,10.0,26.9,47.98,2.0
2020-02-27 20,15.0,0.0,7.6,10.0,27.2,51.24,2.0
2020-02-27 21,13.0,0.0,5.4,10.0,27.2,58.34,2.0
